조사명,경인로(51)_상_2
조사자,
노선,
행선,
차로,
시점,0.0000
종점,9.77
리포트간격(m),10
시작시간,2022-5-3 15:16:0
종료시간,2022-5-3 15:56:27

거리,도로현황,도로표면,소성변형,종단평탄성,,,기하구조,,,조사속도,궤적,,도로포장파손 분석결과,,HPICI,,NHPCI,SPI,,,AP종방향균열[m 아스팔트],,,,AP횡방향균열[m 아스팔트],,,,AP시공줄눈[m 아스팔트],,,,AP거북등균열[m² 아스팔트],,,,AP패칭[m² 아스팔트],,,,AP포트홀[m² 아스팔트],,,,조사시각,기하구조 2,,차로폭,분석 관심 폭,GEOFOG3D,
[km],이미지,이미지,직선자[mm],CRI[m/km],최대[m/km],평균[m/km],편경사[%],종단경사[%],곡률[1/m],속도[km/h],위도[˚],경도[˚],균열량(m²),균열율(%),아스팔트,콘크리트,NHPCI,도시고속도로,주간선도로,보조간선도로,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,비고,,평면율[deg/km],고도율[m/km],m,Width [m],종단선형[m/km],평면선형[deg/km]
0.3600,경인로(51)_상_2_v000350000.jpg,경인로(51)_상_2_s000360000.jpg,2.49,2.92,3.00,2.92,-2.21,2.04,-0.000118,49.13,37.519916152,126.914584971,0.0000,0.00,1.46,3.27,6.41,7.60,7.82,8.00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,20.40,0.00,3.741,7.92,9.71
0.3700,경인로(51)_상_2_v000360000.jpg,경인로(51)_상_2_s000370000.jpg,2.65,2.39,2.65,2.39,-2.89,1.72,-0.000136,48.44,37.519853290,126.914497337,0.0000,0.00,1.41,3.42,6.60,7.88,8.07,8.23,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,17.20,0.00,3.741,9.45,3.38
0.3800,경인로(51)_상_2_v000370000.jpg,경인로(51)_상_2_s000380000.jpg,2.72,5.04,5.83,5.04,-3.20,1.19,0.000132,48.29,37.519795591,126.914410280,0.0000,0.00,0.29,2.25,4.99,5.34,5.76,6.11,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,11.90,0.00,3.741,12.85,3.31
0.3900,경인로(51)_상_2_v000380000.jpg,경인로(51)_상_2_s000390000.jpg,1.96,2.36,2.41,2.36,-3.13,0.95,0.000002,48.41,37.519733504,126.914323624,0.0000,0.00,2.22,3.52,6.85,8.07,8.25,8.39,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,9.50,0.00,3.741,14.88,3.62
0.4000,경인로(51)_상_2_v000390000.jpg,경인로(51)_상_2_s000400000.jpg,1.73,1.91,2.10,1.91,-3.54,1.16,-0.000148,48.58,37.519679658,126.914236028,0.0000,0.00,2.58,3.66,7.10,8.32,8.47,8.60,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,11.60,0.00,3.932,16.38,3.88
0.4100,경인로(51)_상_2_v000400000.jpg,경인로(51)_상_2_s000410000.jpg,2.66,4.32,4.98,4.32,-4.50,1.07,-0.000170,48.42,37.519623850,126.914147849,0.0000,0.00,0.62,2.54,5.36,6.01,6.38,6.67,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,10.70,0.00,3.767,15.35,1.26
0.4200,경인로(51)_상_2_v000410000.jpg,경인로(51)_상_2_s000420000.jpg,3.18,3.52,3.80,3.52,-4.97,1.29,-0.000089,47.87,37.519566094,126.914061107,0.0000,0.00,0.42,2.96,5.88,6.96,7.24,7.46,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,12.90,0.00,3.767,14.71,1.65
0.4300,경인로(51)_상_2_v000420000.jpg,경인로(51)_상_2_s000430000.jpg,4.27,2.90,3.31,2.90,-5.10,1.56,0.000130,47.65,37.519508043,126.913974563,0.0000,0.00,-0.69,3.15,6.02,7.34,7.58,7.78,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,15.60,0.00,3.429,12.10,2.08
0.4400,경인로(51)_상_2_v000430000.jpg,경인로(51)_상_2_s000440000.jpg,1.97,4.36,4.69,4.36,-5.75,1.77,0.000336,47.52,37.519450586,126.913887412,0.0000,0.00,1.45,2.64,5.57,6.25,6.59,6.87,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,17.70,0.00,3.429,10.08,6.41
0.4500,경인로(51)_상_2_v000440000.jpg,경인로(51)_상_2_s000450000.jpg,1.93,2.87,3.57,2.87,-6.05,1.85,0.000004,47.23,37.519392939,126.913800069,0.0000,0.00,1.86,3.05,6.16,7.14,7.40,7.62,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,18.50,0.00,3.321,7.77,9.71
0.4600,경인로(51)_상_2_v000450000.jpg,경인로(51)_상_2_s000460000.jpg,1.66,1.72,2.13,1.72,-6.26,1.41,-0.000070,46.72,37.519334805,126.913712702,0.0000,0.00,2.64,3.64,7.09,8.30,8.45,8.58,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,14.10,0.00,3.453,6.65,5.35
0.4700,경인로(51)_상_2_v000460000.jpg,경인로(51)_상_2_s000470000.jpg,1.69,1.17,1.21,1.17,-6.34,1.21,0.000434,46.13,37.519276740,126.913625565,0.0000,0.00,2.96,4.09,7.76,9.03,9.12,9.19,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,12.10,0.00,3.494,3.57,5.58
